hospital,department,day_of_week,hour,month,is_weekend,is_festival,temperature,is_rainy,patient_count,wait_time_minutes
Taluk Hospital Thrissur,General OPD,Monday,12,4,0,0,26.0,0,26,9
Taluk Hospital Thrissur,General OPD,Friday,14,1,0,0,25.3,0,34,11
General Hospital Kollam,Gynaecology,Tuesday,16,7,0,0,30.3,1,85,29
General Hospital Kollam,Paediatrics,Wednesday,12,3,0,0,37.4,0,41,12
District Hospital Ernakulam,General OPD,Wednesday,13,10,0,0,35.3,0,66,21
General Hospital Kollam,Paediatrics,Monday,16,5,0,0,32.8,0,76,31
Taluk Hospital Thrissur,Cardiology,Saturday,9,1,1,0,27.2,0,83,46
General Hospital Kollam,General OPD,Thursday,12,8,0,0,35.7,1,52,15
District Hospital Ernakulam,General OPD,Friday,10,9,0,0,27.4,1,77,30
Taluk Hospital Thrissur,Gynaecology,Tuesday,13,1,0,0,35.5,0,71,28
District Hospital Ernakulam,General OPD,Tuesday,17,12,0,0,27.0,0,51,16
Taluk Hospital Thrissur,Paediatrics,Tuesday,12,3,0,0,34.4,0,54,17
Taluk Hospital Thrissur,Paediatrics,Friday,14,6,0,0,38.0,1,61,18
General Hospital Kollam,General OPD,Tuesday,10,11,0,0,32.3,0,74,23
District Hospital Ernakulam,Gynaecology,Wednesday,16,1,0,0,34.1,0,63,31
District Hospital Ernakulam,Orthopaedics,Monday,12,7,0,0,30.4,0,76,33
Taluk Hospital Thrissur,Cardiology,Friday,9,11,0,0,35.8,0,82,39
General Hospital Kollam,Orthopaedics,Tuesday,16,9,0,0,32.4,1,37,17
District Hospital Ernakulam,Cardiology,Monday,11,10,0,0,25.2,0,81,42
Taluk Hospital Thrissur,Cardiology,Tuesday,15,9,0,0,27.7,0,47,26
Taluk Hospital Thrissur,Cardiology,Saturday,12,7,1,0,33.1,1,78,35
General Hospital Kollam,Cardiology,Monday,13,1,0,0,31.8,0,57,23
General Hospital Kollam,General OPD,Tuesday,9,1,0,0,28.6,0,82,24
Taluk Hospital Thrissur,Paediatrics,Tuesday,16,3,0,0,37.1,0,56,21
General Hospital Kollam,Paediatrics,Thursday,11,2,0,0,33.2,0,72,25
District Hospital Ernakulam,General OPD,Saturday,9,1,1,0,34.2,0,116,44
General Hospital Kollam,Cardiology,Tuesday,16,8,0,0,29.9,1,45,24
General Hospital Kollam,Paediatrics,Friday,9,1,0,0,38.0,0,103,30
General Hospital Kollam,Cardiology,Tuesday,14,8,0,0,27.0,1,33,13
General Hospital Kollam,Paediatrics,Wednesday,15,5,0,0,33.8,0,66,28
Taluk Hospital Thrissur,Paediatrics,Tuesday,11,5,0,0,37.6,0,87,34
General Hospital Kollam,Orthopaedics,Monday,8,10,0,0,31.0,0,74,29
General Hospital Kollam,Gynaecology,Monday,10,2,0,0,25.0,0,105,40
General Hospital Kollam,Gynaecology,Tuesday,17,10,0,1,32.7,0,66,30
Taluk Hospital Thrissur,Gynaecology,Wednesday,12,4,0,0,34.0,0,35,13
General Hospital Kollam,Orthopaedics,Thursday,13,2,0,0,30.4,0,56,26
General Hospital Kollam,Gynaecology,Tuesday,16,5,0,0,37.1,0,76,27
General Hospital Kollam,Orthopaedics,Wednesday,10,8,0,0,31.6,1,111,47
General Hospital Kollam,Gynaecology,Wednesday,9,3,0,0,25.6,0,56,26
