hospital,department,day_of_week,hour,month,is_weekend,is_festival,temperature,is_rainy,patient_count,wait_time_minutes,hospital_encoded,department_encoded,day_encoded
Taluk Hospital Thrissur,General OPD,Monday,12,4,0,0,26.0,0,26,9,2,1,1
Taluk Hospital Thrissur,General OPD,Friday,14,1,0,0,25.3,0,34,11,2,1,0
General Hospital Kollam,Gynaecology,Tuesday,16,7,0,0,30.3,1,85,29,1,2,4
General Hospital Kollam,Paediatrics,Wednesday,12,3,0,0,37.4,0,41,12,1,4,5
District Hospital Ernakulam,General OPD,Wednesday,13,10,0,0,35.3,0,66,21,0,1,5
General Hospital Kollam,Paediatrics,Monday,16,5,0,0,32.8,0,76,31,1,4,1
Taluk Hospital Thrissur,Cardiology,Saturday,9,1,1,0,27.2,0,83,46,2,0,2
General Hospital Kollam,General OPD,Thursday,12,8,0,0,35.7,1,52,15,1,1,3
District Hospital Ernakulam,General OPD,Friday,10,9,0,0,27.4,1,77,30,0,1,0
Taluk Hospital Thrissur,Gynaecology,Tuesday,13,1,0,0,35.5,0,71,28,2,2,4
District Hospital Ernakulam,General OPD,Tuesday,17,12,0,0,27.0,0,51,16,0,1,4
Taluk Hospital Thrissur,Paediatrics,Tuesday,12,3,0,0,34.4,0,54,17,2,4,4
Taluk Hospital Thrissur,Paediatrics,Friday,14,6,0,0,38.0,1,61,18,2,4,0
General Hospital Kollam,General OPD,Tuesday,10,11,0,0,32.3,0,74,23,1,1,4
District Hospital Ernakulam,Gynaecology,Wednesday,16,1,0,0,34.1,0,63,31,0,2,5
District Hospital Ernakulam,Orthopaedics,Monday,12,7,0,0,30.4,0,76,33,0,3,1
Taluk Hospital Thrissur,Cardiology,Friday,9,11,0,0,35.8,0,82,39,2,0,0
General Hospital Kollam,Orthopaedics,Tuesday,16,9,0,0,32.4,1,37,17,1,3,4
District Hospital Ernakulam,Cardiology,Monday,11,10,0,0,25.2,0,81,42,0,0,1
Taluk Hospital Thrissur,Cardiology,Tuesday,15,9,0,0,27.7,0,47,26,2,0,4
Taluk Hospital Thrissur,Cardiology,Saturday,12,7,1,0,33.1,1,78,35,2,0,2
General Hospital Kollam,Cardiology,Monday,13,1,0,0,31.8,0,57,23,1,0,1
General Hospital Kollam,General OPD,Tuesday,9,1,0,0,28.6,0,82,24,1,1,4
Taluk Hospital Thrissur,Paediatrics,Tuesday,16,3,0,0,37.1,0,56,21,2,4,4
General Hospital Kollam,Paediatrics,Thursday,11,2,0,0,33.2,0,72,25,1,4,3
District Hospital Ernakulam,General OPD,Saturday,9,1,1,0,34.2,0,116,44,0,1,2
General Hospital Kollam,Cardiology,Tuesday,16,8,0,0,29.9,1,45,24,1,0,4
General Hospital Kollam,Paediatrics,Friday,9,1,0,0,38.0,0,103,30,1,4,0
General Hospital Kollam,Cardiology,Tuesday,14,8,0,0,27.0,1,33,13,1,0,4
General Hospital Kollam,Paediatrics,Wednesday,15,5,0,0,33.8,0,66,28,1,4,5
Taluk Hospital Thrissur,Paediatrics,Tuesday,11,5,0,0,37.6,0,87,34,2,4,4
General Hospital Kollam,Orthopaedics,Monday,8,10,0,0,31.0,0,74,29,1,3,1
General Hospital Kollam,Gynaecology,Monday,10,2,0,0,25.0,0,105,40,1,2,1
General Hospital Kollam,Gynaecology,Tuesday,17,10,0,1,32.7,0,66,30,1,2,4
Taluk Hospital Thrissur,Gynaecology,Wednesday,12,4,0,0,34.0,0,35,13,2,2,5
General Hospital Kollam,Orthopaedics,Thursday,13,2,0,0,30.4,0,56,26,1,3,3
General Hospital Kollam,Gynaecology,Tuesday,16,5,0,0,37.1,0,76,27,1,2,4
General Hospital Kollam,Orthopaedics,Wednesday,10,8,0,0,31.6,1,111,47,1,3,5
General Hospital Kollam,Gynaecology,Wednesday,9,3,0,0,25.6,0,56,26,1,2,5
General Hospital Kollam,Orthopaedics,Wednesday,17,4,0,0,28.8,0,63,26,1,3,5
District Hospital Ernakulam,Gynaecology,Thursday,12,1,0,0,32.9,0,73,28,0,2,3
General Hospital Kollam,Orthopaedics,Tuesday,12,3,0,0,30.2,0,65,25,1,3,4
General Hospital Kollam,General OPD,Monday,10,9,0,0,35.7,1,69,22,1,1,1
General Hospital Kollam,Orthopaedics,Wednesday,8,6,0,0,33.5,0,42,18,1,3,5
District Hospital Ernakulam,Gynaecology,Saturday,10,4,1,0,26.3,0,116,56,0,2,2
District Hospital Ernakulam,General OPD,Tuesday,13,7,0,0,33.4,0,35,10,0,1,4
Taluk Hospital Thrissur,General OPD,Thursday,8,8,0,0,26.8,0,42,12,2,1,3
General Hospital Kollam,Cardiology,Monday,11,7,0,0,27.9,1,109,46,1,0,1
Taluk Hospital Thrissur,Gynaecology,Thursday,16,6,0,0,25.6,0,31,13,2,2,3
District Hospital Ernakulam,General OPD,Monday,17,7,0,0,34.2,1,68,27,0,1,1
General Hospital Kollam,Paediatrics,Friday,11,5,0,0,33.9,0,50,18,1,4,0
Taluk Hospital Thrissur,Cardiology,Wednesday,14,2,0,0,36.9,0,59,25,2,0,5
General Hospital Kollam,Orthopaedics,Friday,12,11,0,0,28.6,0,64,23,1,3,0
General Hospital Kollam,Cardiology,Thursday,14,11,0,0,36.6,0,59,28,1,0,3
District Hospital Ernakulam,Gynaecology,Monday,12,5,0,0,30.0,0,57,25,0,2,1
